Id;Designator;Package;Quantity;Designation;Supplier and ref
1;G***;KULeuven4500;1;LOGO;
2;G***;Dramco7500;1;LOGO;
3;J1;PinHeader_1x06_P2.54mm_Vertical;1;SWD;
4;R3,R1;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;10k;
5;JP1;SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm;1;3-wire;
6;LED1;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;SML-D12Y1WT86;
7;J2;ConnectorHorizontalPcb;1;MASTER;
8;C2,C3,C8,C9,C10,C11,C16;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;7;100n;
9;JP2;SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm;1;VDD Sensor;
10;R2;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1k;
11;U1;PSON80P300X300X100-8N;1;BME680;
12;C1;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1µ;
13;C4,C5;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;20p;
14;C6,C7;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;4.3p;
15;U2;LQFP-64_10x10mm_P0.5mm;1;STM32L073RZTx;
16;Y1;ECS801833JGNTR_kristal;1;ECS-80-18-33-JGN-TR;
17;Y2;ABS25;1;ABS25-32.768KHZ-6-T;
18;J3;PinHeader_1x06_P2.54mm_Vertical_SMD;1;SWD;
19;C13,C14;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;2.2u;
20;C15;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1u;
21;C17;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;4.7u;
22;JP3;SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm;1;SolderJumper_2_Bridged;
23;JP4,JP5;SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm;2;SolderJumper_2_Open;
24;J4;PinHeader_2x02_P2.54mm_Vertical_SMD;1;Conn_02x02_Counter_Clockwise;
