"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"S1";"30062114";1;"3006.2114";;;
2;"G***";"Dramco7500";1;"LOGO";;;
3;"G***";"KULeuven4000";1;"LOGO";;;
4;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"PICKit3";;;
5;"J2";"PinHeader_1x06_P2.54mm_Horizontal";1;"MASTER";;;
6;"C1,C2,C3";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"100n";;;
7;"IC1";"SOP65P780X200-20N";1;"PIC16F18446-I_SS";;;
8;"JP1,JP4,JP5";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";3;"Open";;;
9;"JP2";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";1;"SDO";;;
10;"JP3";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";1;"VDD Sensor";;;
11;"R1,R4,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10k";;;
12;"R2,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1k";;;
13;"U1";"PSON80P300X300X100-8N";1;"BME680";;;
14;"J3";"PinHeader_1x07_P2.54mm_Vertical";1;"EXTENSION";;;
