Id;Designator;Package;Quantity;Designation;Supplier and ref;;
1;C1,C2,C3,C4,C5,C6;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;6;1 uF;;;https://nl.mouser.com/ProductDetail/KEMET/C0805C105M8RACAUTO?qs=sGAEpiMZZMsh%252B1woXyUXj5pr%2Fm5%2FLKZI74TXDpZxCL0%3D
2;C7;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10 uF;;;https://nl.mouser.com/ProductDetail/KEMET/C0805C106K9PACTU?qs=sGAEpiMZZMsh%252B1woXyUXj65LqiLJHvVhqjoR3QFlLJE%3D
3;C8;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;100 nF;;;
4;CBYP1,CREF1;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;10 nF;;;https://nl.mouser.com/ProductDetail/Wurth-Elektronik/885012207011?qs=0KOYDY2FL28KyHFRGnMzJg%3D%3D
5;CIN1,CSTOR1;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;4.7 uF;;;https://nl.mouser.com/ProductDetail/Walsin/0805X475M250CT?qs=sGAEpiMZZMsh%252B1woXyUXj8%252BuSINP6VixVEsgb906Yfk%3D
6;COUT1;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;22 uF;;;https://nl.mouser.com/ProductDetail/KEMET/C0805C226M9PACTU?qs=sGAEpiMZZMsh%252B1woXyUXj3tzE9%2FOV2no0quI5i5qAYo%3D
7;D1,D2,D3,D4;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;4;LED;;;
8;J1;PinHeader_1x02_P2.54mm_Vertical;1;Conn_01x02;;;
9;J3;USB_Micro;1;USB_B_Micro;;;https://nl.mouser.com/ProductDetail/Amphenol-FCI/10118194-0001LF?qs=%2Fha2pyFadujDPxnCBbVdv9pBeuBbI0AUs1U3LZt66d03l%2FGqGHhwFfkiuVAa6ee%2F
10;J4;PinHeader_1x02_P2.54mm_Vertical;1;Conn_01x02_battery;;;
11;J5,J6;PinHeader_1x06_P2.54mm_Vertical;2;Conn_01x06_programmer;;;
12;JP1,JP2;SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm;2;SolderJumper_2_Open;;;
13;L1;Inductor_744031220_22uH;1;22 uH;;;https://nl.mouser.com/ProductDetail/Wurth-Elektronik/744031220?qs=%2Fha2pyFadui6JfBMAdwhRPm1Y5MMOi7jHP2VoLkA%252B7U%3D
14;L2;Inductor_744029100_10uH;1;10 uH;;;https://nl.mouser.com/ProductDetail/Wurth-Elektronik/744029100?qs=%2Fha2pyFadujWFnyehKcTOtWfUrLtkmmF%2FSo%2Fco7Yrzo%3D
15;R1,R6,R7,R8,R9,R10,R11;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;7;10k;;;
