"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"logoKuleuven2";1;"LOGO";;;
2;"G***";"logoDramco";1;"LOGO";;;
3;"C1,C2,C3,C4,C5,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"1 uF";;;
4;"C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10 uF";;;
5;"C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100 nF";;;
6;"CBYP1,CREF1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10 nF";;;
7;"CIN1,CSTOR1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4.7 uF";;;
8;"COUT1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"22 uF";;;
9;"D1,D2,D3,D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"LED";;;
10;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
11;"J3";"USB_Micro";1;"USB_B_Micro";;;
12;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_battery";;;
13;"J5,J6";"PinHeader_1x06_P2.54mm_Vertical";2;"Conn_01x06_programmer";;;
14;"JP1,JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"SolderJumper_2_Open";;;
15;"L1";"Inductor_744031220_22uH";1;"22 uH";;;
16;"L2";"Inductor_744029100_10uH";1;"10 uH";;;
17;"R1,R6,R7,R8,R9,R10,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"10k";;;
18;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k";;;
19;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2k";;;
20;"R4,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1.5k";;;
21;"R12,R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"470";;;
22;"ROK1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1.9 M";;;
23;"ROK2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5.49 M";;;
24;"ROK3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5.62M";;;
25;"ROUT1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"8.25 M";;;
26;"ROUT2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.75 M";;;
27;"ROV1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"7.32 M";;;
28;"ROV2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5.61 M";;;
29;"S1,S2";"SOT-23-6_Handsoldering";2;"TPS22860";;;
30;"U1";"BQ24040";1;"BQ24040";;;
31;"U2";"QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm";1;"BQ25570";;;
32;"U3";"SOT-23-5_HandSoldering";1;"TPS705";;;
33;"U4";"PIC16F18446SSOP20PIN";1;"PIC16F18446";;;
34;"J2";"ConnectorHorizontalPcb";1;"Conn_02x03_motherboardconn";;;
