Id;Designator;Package;Quantity;Designation;Supplier and ref;
1;H1,H1,H5,H4,H3,H2,H1;MountingHole_2.5mm;7;MountingHole;;
2;G***;logoKuleuven2;1;LOGO;;
3;G***;logoDramco2;1;LOGO;;
4;U3;QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm;1;BQ25570;;
5;J2,J7;JST M02B-SHLS-TF;2;Conn_01x02;;
6;R_PROG1;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;2 kOhm;;
7;C_BAT1,CIN2;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;10 uF;;
8;U5;TP4056_SOP-8-PP;1;TP4056-42-ESOP8;;
9;U4;MAX17043G&plus_T;1;MAX17043G+T;;
10;JP1;SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm;1;Jumper;;
11;CIN1,CSTOR1;VJ0805Y103KXBT;2;4.7 uF;;
12;CBYP1;VJ0805Y103KXBT;1;0.01 uF;;
13;COUT1;VJ0805Y103KXBT;1;22 uF;;
14;CREF1;VJ0805Y103KXBT;1;10 nF;;
15;L1;LPS4018;1;22 uH;;
16;L2;INDPM3939X180N;1;10 uH;;
17;Rout1;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;4.75 MOhm;;
18;Rout2;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;8.25 Mohm;;
19;Rov1;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;5.62  Mohm;;
20;Rov2;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;7.32  Mohm;;
21;J1;USB_Micro;1;USB_B_Micro;;
22;R7,R6,R3;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;3;1 kOhm;;
23;R5;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;150 Ohm;;
24;R4;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;0.4 Ohm;;
25;R2;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;4.7 kOhm;;
26;J4;ConnectorHorizontalPcb;1;Conn_02x03_Top_Bottom;;
27;D_STDBY1,D_CHRG1;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;LED;;
28;C3;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10 nF;;
29;C2;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1 uF;;
30;Battery;VARTA 1/LPP 443441 S PCM W;1;660mAh;Farnell;2531266
31;Solar panel;ANGUI 39*39mm;1;0,25W;aliexpress;
